Day,Time,Intensity
2014/06/18,17:19:46.846,1277.97551
2014/06/18,17:19:46.956,1214.99184
2014/06/18,17:19:47.066,1485.85488
2014/06/18,17:19:47.176,1363.1873
2014/06/18,17:19:47.286,1351.78413
2014/06/18,17:19:47.396,1394.72449
2014/06/18,17:19:47.506,1361.22789
2014/06/18,17:19:47.616,1347.25646
2014/06/18,17:19:47.716,1384.64875
2014/06/18,17:19:47.826,1311.78209
2014/06/18,17:19:47.936,1297.30204
2014/06/18,17:19:48.046,1363.98662
2014/06/18,17:19:48.156,1380.12313
2014/06/18,17:19:48.266,1359.01973
2014/06/18,17:19:48.376,1268.08458
2014/06/18,17:19:48.486,1395.03469
2014/06/18,17:19:48.596,1284.6619
2014/06/18,17:19:48.706,1456.02109
2014/06/18,17:19:48.816,1275.35714
2014/06/18,17:19:48.926,1329.20862
2014/06/18,17:19:49.026,1140.17075
2014/06/18,17:19:49.136,1354.88458
2014/06/18,17:19:49.246,1326.53367
2014/06/18,17:19:49.356,1208.31202
2014/06/18,17:19:49.466,1401.18299
2014/06/18,17:19:49.576,1492.52222
2014/06/18,17:19:49.686,1477.84263
2014/06/18,17:19:49.796,1449.27052
2014/06/18,17:19:49.906,1395.68753
2014/06/18,17:19:50.016,1266.82472
2014/06/18,17:19:50.126,1462.09342
2014/06/18,17:19:50.236,1347.76327
2014/06/18,17:19:50.346,1359.12687
2014/06/18,17:19:50.446,1433.80
2014/06/18,17:19:50.556,1345.14762
2014/06/18,17:19:50.666,1358.6102
2014/06/18,17:19:50.776,1372.13764
2014/06/18,17:19:50.886,1375.1542
2014/06/18,17:19:50.996,1427.91202
2014/06/18,17:19:51.106,1377.99955
2014/06/18,17:19:51.216,1271.21474
2014/06/18,17:19:51.326,1347.6839
2014/06/18,17:19:51.436,1279.22245
2014/06/18,17:19:51.546,1322.99546
2014/06/18,17:19:51.656,1409.59229
2014/06/18,17:19:51.756,1493.47823
2014/06/18,17:19:51.866,1477.14785
2014/06/18,17:19:51.976,1417.06417
2014/06/18,17:19:52.086,1328.11791
2014/06/18,17:19:52.196,1443.47324
2014/06/18,17:19:52.306,1396.02698
2014/06/18,17:19:52.416,1444.6932
2014/06/18,17:19:52.526,1454.01723
2014/06/18,17:19:52.636,1262.88685
2014/06/18,17:19:52.746,1395.08526
2014/06/18,17:19:52.856,1409.66077
2014/06/18,17:19:52.966,1438.08639
2014/06/18,17:19:53.116,1397.14286
2014/06/18,17:19:53.226,1604.14671
2014/06/18,17:19:53.336,1806.51247
2014/06/18,17:19:53.446,1454.71293
2014/06/18,17:19:53.556,1442.54649
2014/06/18,17:19:53.666,1392.19887
2014/06/18,17:19:53.776,1425.46599
2014/06/18,17:19:53.886,1560.10567
2014/06/18,17:19:53.996,1517.47143
2014/06/18,17:19:54.096,1375.83401
2014/06/18,17:19:54.206,1255.04422
2014/06/18,17:19:54.316,1507.06961
2014/06/18,17:19:54.426,1386.21338
2014/06/18,17:19:54.536,1365.01497
2014/06/18,17:19:54.646,1415.8373
2014/06/18,17:19:54.756,1383.23016
2014/06/18,17:19:54.866,1511.77415
2014/06/18,17:19:54.976,1466.74921
2014/06/18,17:19:55.086,1386.37823
2014/06/18,17:19:55.196,1313.28617
